id;categorie;marked_idx;marked;detection;action
animaux-dump2-0656;animaux;1;In other birds nests;reponse-trop-longue position-1ou3;A_RECONFIRMER
art-archi-0005;art;3;Le plateau de Gizeh;reponse-trop-longue position-1ou3;A_RECONFIRMER
fin-art-0007;art;1;Le Metropolitan Museum of Art;reponse-trop-longue position-1ou3;A_RECONFIRMER
film-millennium-falcon;cinema;3;Le Faucon Millenium;reponse-trop-longue position-1ou3;A_RECONFIRMER
film-reine-neiges-soeurs;cinema;1;La Reine des neiges;reponse-trop-longue position-1ou3;A_RECONFIRMER
film-matrix-neo;cinema;1;Néo;reponse-trop-courte position-1ou3;A_RECONFIRMER
film-oscars-record-11;cinema;3;Ben-Hur;reponse-trop-courte position-1ou3;A_RECONFIRMER
film-leon-besson;cinema;3;Léon;reponse-trop-courte position-1ou3;A_RECONFIRMER
cine-cannes-0017;cinema;1;Jean-Pierre et Luc Dardenne;reponse-trop-longue position-1ou3;A_RECONFIRMER
cine-cannes-0022;cinema;3;Jean-Pierre et Luc Dardenne;reponse-trop-longue position-1ou3;A_RECONFIRMER
comics-bd-011;comics-bd;1;André Franquin;reponse-trop-longue position-1ou3;A_RECONFIRMER
fin-comics-bd-0006;comics-bd;3;Mœbius;reponse-trop-courte position-1ou3;A_RECONFIRMER
fin-comics-bd-0015;comics-bd;1;Grzegorz Rosiński et Jean Van Hamme;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-art-petit-prince;culture-generale;3;Antoine de Saint-Exupéry;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-exp-chair-poule;culture-generale;1;Avoir la peau qui se hérisse de froid ou d'émotion;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-exp-fromage;culture-generale;1;Exagérer l'importance d'une chose;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-exp-taureau;culture-generale;3;Affronter un problème avec courage;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-exp-grasse-matinee;culture-generale;1;Rester au lit tard le matin;reponse-trop-longue position-1ou3;A_RECONFIRMER
cg-exp-pain-planche;culture-generale;3;Avoir beaucoup de travail;reponse-trop-longue position-1ou3;A_RECONFIRMER
food-sushi-rice;food;3;Le riz vinaigré;reponse-trop-longue position-1ou3;A_RECONFIRMER
food-cuisine-0003;food;1;La truffe noire (du Périgord);reponse-trop-longue position-1ou3;A_RECONFIRMER
sport-bulk-0004;football;1;Pelé;reponse-trop-courte position-1ou3;A_RECONFIRMER
foot-ext-0008;football;1;La Coupe d'Afrique des Nations (CAN);reponse-trop-longue position-1ou3;A_RECONFIRMER
foot-ucl-0004;football;1;Chelsea;reponse-trop-courte position-1ou3;A_RECONFIRMER
foot-ucl-0013;football;3;Chelsea;reponse-trop-courte position-1ou3;A_RECONFIRMER
